username,timestamp,content,retweets,likes,replies,composite_signal,signal_confidence,trading_signal
user_136,2025-08-31 19:03:49+00:00,This is a sample tweet about Indian stock market #nifty50,471,438,496,-0.09926847573203605,0.9512832819467802,HOLD
user_96,2025-08-31 19:02:37+00:00,This is a sample tweet about Indian stock market #nifty50,528,1200,388,0.11350198647930182,0.9442980842304993,HOLD
user_388,2025-08-31 19:00:31+00:00,This is a sample tweet about Indian stock market #intraday,716,684,230,0.54924432465525,0.7304543994531587,STRONG_BUY
user_90,2025-08-31 19:00:18+00:00,This is a sample tweet about Indian stock market #intraday,461,2975,373,1.4799603431164021,0.27369882297607384,HOLD
user_284,2025-08-31 18:59:24+00:00,This is a sample tweet about Indian stock market #intraday,704,967,354,0.8360670020808187,0.5896941086924761,HOLD
user_57,2025-08-31 18:59:22+00:00,This is a sample tweet about Indian stock market #nifty50,818,1905,28,0.14868976754873586,0.9270294277246269,HOLD
user_277,2025-08-31 18:58:52+00:00,This is a sample tweet about Indian stock market #banknifty,584,396,136,-0.5360924174832042,0.7369087924398336,STRONG_SELL
user_175,2025-08-31 18:57:39+00:00,This is a sample tweet about Indian stock market #sensex,345,326,448,-1.073130131759454,0.4733536736832491,HOLD
user_201,2025-08-31 18:56:46+00:00,This is a sample tweet about Indian stock market #banknifty,267,218,492,-0.3819363859874661,0.8125619730412315,SELL
user_250,2025-08-31 18:56:34+00:00,This is a sample tweet about Indian stock market #banknifty,296,162,126,-0.9095418465493033,0.5536358005983979,HOLD
user_66,2025-08-31 18:56:25+00:00,This is a sample tweet about Indian stock market #nifty50,859,1782,318,0.555052210928739,0.7276041375146708,STRONG_BUY
user_381,2025-08-31 18:55:38+00:00,This is a sample tweet about Indian stock market #banknifty,43,900,399,-0.4358325096371029,0.786112062929904,SELL
user_365,2025-08-31 18:52:54+00:00,This is a sample tweet about Indian stock market #sensex,789,2252,475,0.17178504801183353,0.9156952528178023,HOLD
user_239,2025-08-31 18:51:14+00:00,This is a sample tweet about Indian stock market #nifty50,315,162,14,-1.0546611770418324,0.4824174459743118,HOLD
user_219,2025-08-31 18:50:49+00:00,This is a sample tweet about Indian stock market #intraday,230,1869,33,0.3164058820266821,0.8447215389235613,BUY
user_46,2025-08-31 18:50:09+00:00,This is a sample tweet about Indian stock market #nifty50,997,635,117,-0.08913559397556126,0.9562560665086116,HOLD
user_131,2025-08-31 18:48:36+00:00,This is a sample tweet about Indian stock market #intraday,227,1687,163,0.42628652433331027,0.7907968238386975,BUY
user_49,2025-08-31 18:47:29+00:00,This is a sample tweet about Indian stock market #banknifty,969,459,203,-0.0632337257273374,0.9689675945460382,HOLD
user_166,2025-08-31 18:44:55+00:00,This is a sample tweet about Indian stock market #intraday,957,1663,407,1.4326425470973838,0.29692037151461326,HOLD
user_259,2025-08-31 18:44:53+00:00,This is a sample tweet about Indian stock market #sensex,885,1174,190,-0.603542473019693,0.7038071928231013,STRONG_SELL
user_231,2025-08-31 18:44:22+00:00,This is a sample tweet about Indian stock market #intraday,856,1898,238,1.1939113452181314,0.41407942494716854,HOLD
user_374,2025-08-31 18:42:45+00:00,This is a sample tweet about Indian stock market #banknifty,127,2667,478,0.49141840363827105,0.7588328858717107,BUY
user_323,2025-08-31 18:42:35+00:00,This is a sample tweet about Indian stock market #intraday,722,1033,49,0.43775709815061276,0.7851675572820657,BUY
user_431,2025-08-31 18:42:11+00:00,This is a sample tweet about Indian stock market #intraday,839,2583,296,1.548067082747702,0.24027495091926376,HOLD
user_430,2025-08-31 18:41:53+00:00,This is a sample tweet about Indian stock market #intraday,728,121,353,0.503793962737002,0.7527594912827649,STRONG_BUY
user_42,2025-08-31 18:41:41+00:00,This is a sample tweet about Indian stock market #nifty50,396,2357,223,0.23671531206869717,0.8838302589831227,BUY
user_420,2025-08-31 18:39:40+00:00,This is a sample tweet about Indian stock market #intraday,778,1291,203,0.8193755248468346,0.5978855711311133,HOLD
user_257,2025-08-31 18:39:36+00:00,This is a sample tweet about Indian stock market #banknifty,540,540,278,-0.31015665199399367,0.8477883934844601,SELL
user_329,2025-08-31 18:39:35+00:00,This is a sample tweet about Indian stock market #intraday,454,329,343,0.3272759472833454,0.8393869762597963,BUY
user_63,2025-08-31 18:38:45+00:00,This is a sample tweet about Indian stock market #banknifty,897,1779,145,0.3374976601940841,0.8343705971704505,BUY
user_249,2025-08-31 18:38:33+00:00,This is a sample tweet about Indian stock market #nifty50,230,918,35,-0.7862764919101539,0.6141291594759501,SELL
user_225,2025-08-31 18:37:52+00:00,This is a sample tweet about Indian stock market #intraday,58,2091,470,0.8863242169914224,0.5650300192029885,HOLD
user_400,2025-08-31 18:37:34+00:00,This is a sample tweet about Indian stock market #sensex,775,1821,144,-0.5004109914658111,0.7544197087524651,STRONG_SELL
user_123,2025-08-31 18:37:26+00:00,This is a sample tweet about Indian stock market #nifty50,416,1250,277,-0.12823880342934674,0.9370658853772084,HOLD
user_259,2025-08-31 18:36:35+00:00,This is a sample tweet about Indian stock market #sensex,201,289,162,-1.6338758198413894,0.19816369635764175,HOLD
user_337,2025-08-31 18:35:44+00:00,This is a sample tweet about Indian stock market #intraday,429,910,397,0.6250244890882314,0.6932647390147965,BUY
user_291,2025-08-31 18:35:14+00:00,This is a sample tweet about Indian stock market #intraday,175,2002,252,0.6393986084762795,0.6862105365972925,BUY
user_147,2025-08-31 18:34:51+00:00,This is a sample tweet about Indian stock market #intraday,523,2614,159,1.075540860515058,0.4721705912170021,HOLD
user_73,2025-08-31 18:34:40+00:00,This is a sample tweet about Indian stock market #banknifty,57,572,496,-0.419212714824605,0.7942683467049105,SELL
user_447,2025-08-31 18:33:58+00:00,This is a sample tweet about Indian stock market #banknifty,305,2383,122,0.01853045596737514,0.9909060455285209,HOLD
user_272,2025-08-31 18:33:44+00:00,This is a sample tweet about Indian stock market #sensex,868,108,474,-0.6515634409176336,0.6802405576302559,SELL
user_422,2025-08-31 18:31:37+00:00,This is a sample tweet about Indian stock market #banknifty,400,2369,218,0.23809923912811612,0.883151086830405,BUY
user_331,2025-08-31 18:30:31+00:00,This is a sample tweet about Indian stock market #intraday,878,1563,75,0.8379543540849131,0.5887678771293074,HOLD
user_138,2025-08-31 18:29:44+00:00,This is a sample tweet about Indian stock market #banknifty,377,1811,110,-0.17191700900312795,0.9156304920127287,HOLD
user_449,2025-08-31 18:29:30+00:00,This is a sample tweet about Indian stock market #nifty50,74,1301,263,-0.43771715766588637,0.7851871583620567,SELL
user_199,2025-08-31 18:29:30+00:00,This is a sample tweet about Indian stock market #intraday,932,910,261,0.8844473982055593,0.5659510815135924,HOLD
user_19,2025-08-31 18:29:26+00:00,This is a sample tweet about Indian stock market #sensex,179,804,21,-1.6436033125798604,0.19338985937051956,HOLD
user_465,2025-08-31 18:29:04+00:00,This is a sample tweet about Indian stock market #banknifty,592,2884,124,0.4907588581302904,0.7591565625708704,BUY
user_209,2025-08-31 18:27:55+00:00,This is a sample tweet about Indian stock market #intraday,775,372,20,0.1683234291906802,0.9173940671380006,HOLD
user_437,2025-08-31 18:27:33+00:00,This is a sample tweet about Indian stock market #intraday,244,105,393,0.11577813929872594,0.9431810458723275,HOLD
user_263,2025-08-31 18:27:02+00:00,This is a sample tweet about Indian stock market #banknifty,665,2232,272,0.49982686951914723,0.7547063707967283,BUY
user_213,2025-08-31 18:26:27+00:00,This is a sample tweet about Indian stock market #nifty50,236,1658,269,-0.13317305078302866,0.9346443680187364,HOLD
user_446,2025-08-31 18:25:44+00:00,This is a sample tweet about Indian stock market #nifty50,460,781,146,-0.47368627932328644,0.7675350533460024,SELL
user_329,2025-08-31 18:25:29+00:00,This is a sample tweet about Indian stock market #sensex,868,1136,201,-0.618865212196091,0.6962874484253467,SELL
user_41,2025-08-31 18:25:04+00:00,This is a sample tweet about Indian stock market #sensex,1,1739,63,-1.3545863763346877,0.33522699842027015,HOLD
user_164,2025-08-31 18:24:56+00:00,This is a sample tweet about Indian stock market #intraday,716,2670,17,1.068213896523859,0.47576635146528956,HOLD
user_262,2025-08-31 18:24:48+00:00,This is a sample tweet about Indian stock market #sensex,189,937,59,-1.5240039655465536,0.252084098662546,HOLD
user_464,2025-08-31 18:24:00+00:00,This is a sample tweet about Indian stock market #banknifty,595,2941,454,0.995638996650205,0.5113830052802375,HOLD
user_155,2025-08-31 18:22:31+00:00,This is a sample tweet about Indian stock market #banknifty,804,964,46,-0.23012780988278037,0.8870631230348752,SELL
user_426,2025-08-31 18:21:52+00:00,This is a sample tweet about Indian stock market #intraday,706,2866,27,1.1553255028190614,0.43301570447739646,HOLD
user_8,2025-08-31 18:19:36+00:00,This is a sample tweet about Indian stock market #nifty50,423,319,78,-0.7984104062506856,0.6081743537891449,SELL
user_216,2025-08-31 18:18:17+00:00,This is a sample tweet about Indian stock market #sensex,48,1061,216,-1.3727071917711946,0.3263340779840006,HOLD
user_419,2025-08-31 18:18:13+00:00,This is a sample tweet about Indian stock market #intraday,651,2090,130,0.9312868647174531,0.542964276619128,HOLD
user_285,2025-08-31 18:17:57+00:00,This is a sample tweet about Indian stock market #nifty50,104,200,127,-1.0665355719597582,0.4765900013096962,HOLD
user_450,2025-08-31 18:17:44+00:00,This is a sample tweet about Indian stock market #nifty50,705,879,36,-0.36991630808296827,0.8184609126787441,SELL
user_70,2025-08-31 18:16:53+00:00,This is a sample tweet about Indian stock market #sensex,851,2069,13,-0.5179695333261743,0.7458027281155707,STRONG_SELL
user_274,2025-08-31 18:15:10+00:00,This is a sample tweet about Indian stock market #sensex,221,1799,205,-0.9240241468242377,0.5465285076330002,HOLD
user_490,2025-08-31 18:14:41+00:00,This is a sample tweet about Indian stock market #intraday,231,1956,439,0.9421513308396938,0.5376324617708301,HOLD
user_40,2025-08-31 18:13:41+00:00,This is a sample tweet about Indian stock market #nifty50,945,143,453,0.1456978549050007,0.9284977303617921,HOLD
user_298,2025-08-31 18:12:50+00:00,This is a sample tweet about Indian stock market #sensex,518,575,428,-0.8413070924606233,0.5871224966703943,HOLD
user_146,2025-08-31 18:12:10+00:00,This is a sample tweet about Indian stock market #sensex,343,2748,333,-0.23218317892175566,0.8860544359040546,SELL
user_145,2025-08-31 18:12:00+00:00,This is a sample tweet about Indian stock market #banknifty,479,2934,314,0.6844688424573057,0.6640919952854133,BUY
user_382,2025-08-31 18:10:38+00:00,This is a sample tweet about Indian stock market #banknifty,331,1134,422,-0.043537032784338264,0.9786338881967552,HOLD
user_264,2025-08-31 18:10:18+00:00,This is a sample tweet about Indian stock market #intraday,846,1007,8,0.4800397798034411,0.7644170273134652,BUY
user_90,2025-08-31 18:10:12+00:00,This is a sample tweet about Indian stock market #sensex,411,2941,296,-0.14365575643813533,0.9294999048639555,HOLD
user_202,2025-08-31 18:10:01+00:00,This is a sample tweet about Indian stock market #intraday,34,905,403,0.2730905443200482,0.8659788522737762,BUY
user_292,2025-08-31 18:09:47+00:00,This is a sample tweet about Indian stock market #intraday,278,1228,342,0.5407667708558941,0.7346148199207709,STRONG_BUY
user_195,2025-08-31 18:08:55+00:00,This is a sample tweet about Indian stock market #nifty50,304,2499,305,0.33126532100507206,0.8374291624283953,BUY
user_211,2025-08-31 18:08:55+00:00,This is a sample tweet about Indian stock market #banknifty,978,86,271,-0.11194947234794135,0.945059991700655,HOLD
user_403,2025-08-31 18:06:12+00:00,This is a sample tweet about Indian stock market #sensex,892,260,434,-0.624413240569856,0.6935647136191272,SELL
user_295,2025-08-31 18:06:11+00:00,This is a sample tweet about Indian stock market #banknifty,126,1788,283,-0.15854281125141162,0.9221939756993036,HOLD
user_107,2025-08-31 18:05:56+00:00,This is a sample tweet about Indian stock market #banknifty,179,370,90,-0.9812404160792197,0.518449212199107,HOLD
user_248,2025-08-31 18:05:33+00:00,This is a sample tweet about Indian stock market #sensex,172,2803,243,-0.49495167097453807,0.7570989095276784,SELL
user_351,2025-08-31 18:05:00+00:00,This is a sample tweet about Indian stock market #sensex,132,452,248,-1.5038968455667985,0.26195181233189035,HOLD
user_223,2025-08-31 18:04:42+00:00,This is a sample tweet about Indian stock market #intraday,450,1027,134,0.31158151056613403,0.847089133897639,BUY
user_422,2025-08-31 18:03:34+00:00,This is a sample tweet about Indian stock market #nifty50,603,861,142,-0.31633795946827653,0.8447548724073584,SELL
user_260,2025-08-31 18:02:52+00:00,This is a sample tweet about Indian stock market #nifty50,329,645,314,-0.4057323744595924,0.8008839206419627,SELL
user_58,2025-08-31 18:01:23+00:00,This is a sample tweet about Indian stock market #intraday,631,2916,19,1.0964889217385654,0.46189017958721157,HOLD
user_288,2025-08-31 18:01:20+00:00,This is a sample tweet about Indian stock market #sensex,730,1682,285,-0.39478561614332924,0.8062561209760315,SELL
user_262,2025-08-31 18:00:58+00:00,This is a sample tweet about Indian stock market #intraday,394,2889,483,1.5427655063703902,0.242876737636613,HOLD
user_280,2025-08-31 18:00:39+00:00,This is a sample tweet about Indian stock market #intraday,265,1911,307,0.7628980592649199,0.6256022933515861,BUY
user_467,2025-08-31 18:00:35+00:00,This is a sample tweet about Indian stock market #nifty50,653,1304,297,0.13839093226715588,0.9320836551718543,HOLD
user_228,2025-08-31 17:59:07+00:00,This is a sample tweet about Indian stock market #intraday,764,1027,82,0.5212204024136143,0.7442073407421579,STRONG_BUY
user_415,2025-08-31 17:59:03+00:00,This is a sample tweet about Indian stock market #banknifty,503,358,344,-0.3239189246810551,0.8410344592337025,SELL
user_355,2025-08-31 17:58:54+00:00,This is a sample tweet about Indian stock market #nifty50,887,2713,154,0.7307542605758073,0.6413770936227623,BUY
user_229,2025-08-31 17:58:46+00:00,This is a sample tweet about Indian stock market #intraday,33,691,421,0.20908323097835652,0.8973909014103885,BUY
user_181,2025-08-31 17:57:40+00:00,This is a sample tweet about Indian stock market #sensex,377,1078,388,-0.8176351326863412,0.5987396810946203,HOLD
user_54,2025-08-31 17:56:50+00:00,This is a sample tweet about Indian stock market #sensex,938,1564,210,-0.3638895221632697,0.8214186011921613,SELL
user_225,2025-08-31 17:55:48+00:00,This is a sample tweet about Indian stock market #sensex,759,1373,57,-0.8277821591381832,0.5937599549218588,HOLD
user_30,2025-08-31 17:53:59+00:00,This is a sample tweet about Indian stock market #intraday,785,1210,118,0.6687449912026644,0.6718085883189449,BUY
user_131,2025-08-31 17:51:43+00:00,This is a sample tweet about Indian stock market #sensex,919,2255,432,0.22870169286334513,0.8877630002137511,BUY
user_406,2025-08-31 17:47:17+00:00,This is a sample tweet about Indian stock market #nifty50,994,598,131,-0.08698441468068316,0.9573117732112448,HOLD
user_437,2025-08-31 17:47:06+00:00,This is a sample tweet about Indian stock market #banknifty,433,2002,82,-0.08206851451106112,0.9597242865572513,HOLD
user_178,2025-08-31 17:46:05+00:00,This is a sample tweet about Indian stock market #banknifty,887,2011,450,0.8672742006761474,0.574378951650039,HOLD
user_107,2025-08-31 17:42:04+00:00,This is a sample tweet about Indian stock market #sensex,464,897,472,-0.6923291964178498,0.6602344700754168,SELL
user_212,2025-08-31 17:41:50+00:00,This is a sample tweet about Indian stock market #nifty50,900,1127,434,0.48743262752942673,0.7607889341487285,BUY
user_377,2025-08-31 17:41:36+00:00,This is a sample tweet about Indian stock market #nifty50,476,2941,307,0.674515384906587,0.6689767261284856,BUY
user_405,2025-08-31 17:40:12+00:00,This is a sample tweet about Indian stock market #banknifty,20,2817,436,0.3959247180211778,0.8056970985410852,BUY
user_18,2025-08-31 17:39:29+00:00,This is a sample tweet about Indian stock market #banknifty,199,2421,116,-0.07054749439139815,0.965378309999398,HOLD
user_110,2025-08-31 17:39:12+00:00,This is a sample tweet about Indian stock market #banknifty,20,2643,477,0.3828399280467737,0.8121185532805472,BUY
user_320,2025-08-31 17:38:42+00:00,This is a sample tweet about Indian stock market #nifty50,950,2976,1,0.675754012948748,0.6683688605129638,BUY
user_167,2025-08-31 17:37:38+00:00,This is a sample tweet about Indian stock market #banknifty,841,2507,471,1.062693148996516,0.4784756980000202,HOLD
user_300,2025-08-31 17:36:16+00:00,This is a sample tweet about Indian stock market #nifty50,324,84,402,-0.516519691879459,0.7465142482276772,STRONG_SELL
user_96,2025-08-31 17:34:43+00:00,This is a sample tweet about Indian stock market #banknifty,901,2281,458,1.0041144468017227,0.5072236171929239,HOLD
user_452,2025-08-31 17:34:35+00:00,This is a sample tweet about Indian stock market #intraday,175,1217,292,0.3702023940167607,0.8183205139502165,BUY
user_93,2025-08-31 17:34:10+00:00,This is a sample tweet about Indian stock market #intraday,262,2551,40,0.6398548638904707,0.6859866259730032,BUY
user_172,2025-08-31 17:32:53+00:00,This is a sample tweet about Indian stock market #banknifty,682,2289,436,0.7767655103106887,0.6187967420652221,BUY
user_227,2025-08-31 17:32:35+00:00,This is a sample tweet about Indian stock market #nifty50,179,1875,379,0.06499815753744931,0.9681016869516729,HOLD
user_197,2025-08-31 17:32:28+00:00,This is a sample tweet about Indian stock market #intraday,34,285,117,-0.39993539024509617,0.803728832316631,SELL
user_99,2025-08-31 17:30:58+00:00,This is a sample tweet about Indian stock market #intraday,75,2037,175,0.4515881593125806,0.7783798645927643,BUY
user_269,2025-08-31 17:30:20+00:00,This is a sample tweet about Indian stock market #intraday,796,1947,49,0.8858787485072421,0.5652486360638334,HOLD
user_363,2025-08-31 17:29:41+00:00,This is a sample tweet about Indian stock market #intraday,466,2015,275,0.9423055467710438,0.5375567791939446,HOLD
user_335,2025-08-31 17:29:32+00:00,This is a sample tweet about Indian stock market #intraday,872,279,293,0.613377032229625,0.6989808121954654,BUY
user_282,2025-08-31 17:29:27+00:00,This is a sample tweet about Indian stock market #intraday,158,203,69,-0.3911410989652603,0.8080446939796442,SELL
user_228,2025-08-31 17:29:08+00:00,This is a sample tweet about Indian stock market #banknifty,563,2050,230,0.270495836990966,0.8672522235474798,BUY
user_445,2025-08-31 17:27:56+00:00,This is a sample tweet about Indian stock market #banknifty,252,1795,53,-0.37468300273846333,0.8161216230113537,SELL
user_74,2025-08-31 17:27:37+00:00,This is a sample tweet about Indian stock market #nifty50,415,529,69,-0.7311924603720763,0.6411620439227613,SELL
user_122,2025-08-31 17:26:19+00:00,This is a sample tweet about Indian stock market #intraday,277,1793,127,0.46366357730293234,0.7724537664103088,BUY
user_259,2025-08-31 17:25:56+00:00,This is a sample tweet about Indian stock market #banknifty,623,131,3,-0.8039516949769262,0.6054549265133957,SELL
user_246,2025-08-31 17:24:09+00:00,This is a sample tweet about Indian stock market #intraday,31,1593,36,0.02508390929051768,0.9876898912009346,HOLD
user_98,2025-08-31 17:24:05+00:00,This is a sample tweet about Indian stock market #nifty50,563,1758,125,-0.0034263734033505855,0.9983184826219491,HOLD
user_422,2025-08-31 17:23:37+00:00,This is a sample tweet about Indian stock market #nifty50,529,2757,392,0.7691582601957236,0.622530054743574,BUY
user_117,2025-08-31 17:21:59+00:00,This is a sample tweet about Indian stock market #banknifty,977,2931,112,0.842422847614613,0.5865749318080088,HOLD
user_46,2025-08-31 17:21:58+00:00,This is a sample tweet about Indian stock market #intraday,401,974,72,0.1551321015984201,0.9238678059792671,HOLD
user_30,2025-08-31 17:20:22+00:00,This is a sample tweet about Indian stock market #nifty50,498,2548,482,0.7843815277928117,0.6150591267384136,BUY
user_136,2025-08-31 17:17:39+00:00,This is a sample tweet about Indian stock market #banknifty,800,1593,65,0.055949584521616115,0.9725423392045216,HOLD
user_428,2025-08-31 17:16:52+00:00,This is a sample tweet about Indian stock market #sensex,762,808,255,-0.7735083636566014,0.6203952101995932,SELL
user_108,2025-08-31 17:15:03+00:00,This is a sample tweet about Indian stock market #sensex,825,239,438,-0.688184178331528,0.6622686674975866,SELL
user_338,2025-08-31 17:14:05+00:00,This is a sample tweet about Indian stock market #banknifty,397,2072,205,0.09274193388670146,0.9544862292731792,HOLD
user_326,2025-08-31 17:13:42+00:00,This is a sample tweet about Indian stock market #sensex,57,219,143,-1.8213069144138077,0.1061805393548172,HOLD
user_268,2025-08-31 17:13:07+00:00,This is a sample tweet about Indian stock market #sensex,407,1429,323,-0.7383388313528529,0.6376549109925248,SELL
user_168,2025-08-31 17:13:00+00:00,This is a sample tweet about Indian stock market #banknifty,547,2363,25,0.08924151770617747,0.9562040836763821,HOLD
user_64,2025-08-31 17:12:17+00:00,This is a sample tweet about Indian stock market #sensex,405,963,166,-1.1619829918429478,0.42974849388181435,HOLD
user_258,2025-08-31 17:11:34+00:00,This is a sample tweet about Indian stock market #sensex,459,298,489,-0.92188313764649,0.5475792232775443,HOLD
user_322,2025-08-31 17:07:13+00:00,This is a sample tweet about Indian stock market #intraday,445,2124,466,1.2455660783721403,0.3887294933337222,HOLD
user_97,2025-08-31 17:07:00+00:00,This is a sample tweet about Indian stock market #intraday,232,1027,112,0.08180593111594178,0.9598531512459763,HOLD
user_324,2025-08-31 17:06:23+00:00,This is a sample tweet about Indian stock market #intraday,559,1470,241,0.7502802877537675,0.6317945554230626,BUY
user_319,2025-08-31 17:06:01+00:00,This is a sample tweet about Indian stock market #sensex,987,2597,423,0.4199230538641162,0.793919742715024,BUY
user_262,2025-08-31 17:04:27+00:00,This is a sample tweet about Indian stock market #sensex,268,204,17,-1.8186922829036032,0.10746368856363075,HOLD
user_88,2025-08-31 17:01:01+00:00,This is a sample tweet about Indian stock market #nifty50,662,224,358,-0.21514673214786892,0.8944151946241997,SELL
user_171,2025-08-31 17:00:07+00:00,This is a sample tweet about Indian stock market #banknifty,893,1567,169,0.2802989622254592,0.8624412693692534,BUY
user_107,2025-08-31 16:59:19+00:00,This is a sample tweet about Indian stock market #intraday,209,78,418,0.10899698574875866,0.9465089457230426,HOLD
user_394,2025-08-31 16:59:15+00:00,This is a sample tweet about Indian stock market #banknifty,127,2021,67,-0.3736561981735174,0.8166255347327471,SELL
user_145,2025-08-31 16:59:01+00:00,This is a sample tweet about Indian stock market #sensex,377,684,174,-1.292087292535576,0.36589887306700963,HOLD
user_486,2025-08-31 16:57:36+00:00,This is a sample tweet about Indian stock market #nifty50,197,123,179,-0.938826929025454,0.5392639358585073,HOLD
user_198,2025-08-31 16:56:28+00:00,This is a sample tweet about Indian stock market #banknifty,732,2751,316,0.8407471110459204,0.5873973115750643,HOLD
user_281,2025-08-31 16:56:04+00:00,This is a sample tweet about Indian stock market #nifty50,425,118,120,-0.8194835308627907,0.5978325664023866,HOLD
user_317,2025-08-31 16:55:39+00:00,This is a sample tweet about Indian stock market #nifty50,488,472,43,-0.7263785411942557,0.6435245093639547,SELL
user_431,2025-08-31 16:55:22+00:00,This is a sample tweet about Indian stock market #banknifty,140,1511,147,-0.45844563699242635,0.7750145081266591,SELL
user_480,2025-08-31 16:54:20+00:00,This is a sample tweet about Indian stock market #nifty50,958,287,129,-0.2521848489437075,0.8762384725595252,SELL
user_450,2025-08-31 16:53:59+00:00,This is a sample tweet about Indian stock market #nifty50,249,2109,481,0.37393734928257666,0.8164875578049312,BUY
user_220,2025-08-31 16:52:34+00:00,This is a sample tweet about Indian stock market #sensex,24,1333,325,-1.1231073007003096,0.4488270187665152,HOLD
user_255,2025-08-31 16:52:13+00:00,This is a sample tweet about Indian stock market #banknifty,264,883,234,-0.48151244318466874,0.763694307172943,SELL
user_64,2025-08-31 16:51:59+00:00,This is a sample tweet about Indian stock market #banknifty,84,172,262,-0.9006512099134215,0.5579989444374657,HOLD
user_437,2025-08-31 16:50:40+00:00,This is a sample tweet about Indian stock market #banknifty,851,1300,426,0.5034624655751163,0.7529221758979153,STRONG_BUY
user_376,2025-08-31 16:50:33+00:00,This is a sample tweet about Indian stock market #banknifty,104,134,97,-1.1375349196831805,0.44174656103827215,HOLD
user_278,2025-08-31 16:49:13+00:00,This is a sample tweet about Indian stock market #banknifty,8,846,43,-1.006201297205663,0.5061994803559449,HOLD
user_482,2025-08-31 16:46:11+00:00,This is a sample tweet about Indian stock market #sensex,197,599,329,-1.2662010162519541,0.37860274923572557,HOLD
user_417,2025-08-31 16:46:00+00:00,This is a sample tweet about Indian stock market #intraday,375,2814,175,1.0477529007783373,0.48580773221050666,HOLD
user_274,2025-08-31 16:45:48+00:00,This is a sample tweet about Indian stock market #sensex,695,894,104,-1.017385116763928,0.5007109405132579,HOLD
user_50,2025-08-31 16:45:12+00:00,This is a sample tweet about Indian stock market #nifty50,237,750,394,-0.3295031714913076,0.8382939499694219,SELL
user_475,2025-08-31 16:42:03+00:00,This is a sample tweet about Indian stock market #sensex,166,386,425,-1.2439467526453185,0.3895241890746233,HOLD
user_203,2025-08-31 16:41:44+00:00,This is a sample tweet about Indian stock market #nifty50,398,2421,98,0.08399362604148013,0.9587795242351052,HOLD
user_159,2025-08-31 16:41:33+00:00,This is a sample tweet about Indian stock market #banknifty,268,1817,309,0.020132127663589044,0.9901200136300469,HOLD
